sample	taxid	expected_organism	classification	avg_pct_match	avg_pct_uncultured	R1_n_reads	R1_n_match	R1_pct_match	R1_pct_uncultured	R1_expected_rank	R1_mean_pident	R1_top_organisms	R2_n_reads	R2_n_match	R2_pct_match	R2_pct_uncultured	R2_expected_rank	R2_mean_pident	R2_top_organisms
GKWWBAA00014	287	Pseudomonas aeruginosa	TRUE_POSITIVE	100.0	0.0	500.0	500.0	100.0	0.0	1.0	96.63	Pseudomonas aeruginosa(500); Serratia marcescens(422); uncultured bacterium(417); Klebsiella pneumoniae(382); Fluviibacter phosphoraccumulans(287)	500.0	500.0	100.0	0.0	1.0	96.64	Pseudomonas aeruginosa(500); Serratia marcescens(422); uncultured bacterium(422); Klebsiella pneumoniae(380); Fluviibacter phosphoraccumulans(283)
GKWWBAA00014	470	Acinetobacter baumannii	TRUE_POSITIVE	98.9	1.6	190.0	188.0	98.9	1.6	1.0	92.21	Acinetobacter baumannii(186); Acinetobacter pittii(116); Acinetobacter bereziniae(44); Acinetobacter baylyi(42); Acinetobacter seifertii(40)	190.0	188.0	98.9	1.6	1.0	92.26	Acinetobacter baumannii(186); Acinetobacter pittii(115); Acinetobacter baylyi(42); Acinetobacter bereziniae(42); Acinetobacter seifertii(41)
GKWWBAA00014	519	Bordetella parapertussis	TRUE_POSITIVE	100.0	0.0	13.0	13.0	100.0	0.0	1.0	83.38	Bordetella parapertussis Bpp5(13); Caudoviricetes sp.(11); uncultured Caudovirales phage(9); Sulfurimicrobium lacus(5); Pseudomonas sp. SC11(4)	13.0	13.0	100.0	0.0	1.0	83.36	Bordetella parapertussis Bpp5(13); Caudoviricetes sp.(8); uncultured Caudovirales phage(7); Sulfurimicrobium lacus(6); Candidatus Acidiferrales bacterium(4)
GKWWBAA00014	546	Citrobacter freundii	TRUE_POSITIVE	100.0	0.0	500.0	500.0	100.0	0.0	1.0	88.52	Citrobacter freundii(500); Serratia marcescens(148); Escherichia coli(142); Aeromonas salmonicida subsp. masoucida(68); Aeromonas veronii(56)	500.0	500.0	100.0	0.0	1.0	88.67	Citrobacter freundii(500); Serratia marcescens(148); Escherichia coli(145); Aeromonas salmonicida subsp. masoucida(69); Photorhabdus tasmaniensis(54)
GKWWBAA00014	548	Klebsiella aerogenes	TRUE_POSITIVE	100.0	0.0	89.0	89.0	100.0	0.0	1.0	88.74	Klebsiella aerogenes(89); uncultured bacterium(49); Klebsiella ornithinolytica(20); Klebsiella huaxiensis(20); Serratia marcescens(18)	89.0	89.0	100.0	0.0	1.0	88.32	Klebsiella aerogenes(89); uncultured bacterium(49); Serratia marcescens(21); Klebsiella ornithinolytica(20); Klebsiella huaxiensis(20)
GKWWBAA00014	550	Enterobacter cloacae	TRUE_POSITIVE	93.6	0.0	171.0	160.0	93.6	0.0	1.0	97.17	Enterobacter cloacae(160); Enterobacter cloacae subsp. cloacae(138); Enterobacter asburiae(15); Enterobacter cloacae subsp. cloacae ATCC 13047(11); Enterobacter adelaidei(9)	171.0	160.0	93.6	0.0	1.0	96.64	Enterobacter cloacae(160); Enterobacter cloacae subsp. cloacae(140); Enterobacter asburiae(15); Escherichia coli(10); Enterobacter adelaidei(9)
GKWWBAA00014	562	Escherichia coli	TRUE_POSITIVE	98.5	1.0	500.0	492.0	98.4	1.0	1.0	91.58	Escherichia coli(491); Citrobacter freundii(295); Serratia marcescens(140); Klebsiella pneumoniae(110); Enterobacter roggenkampii(95)	500.0	493.0	98.6	1.0	1.0	90.62	Escherichia coli(492); Citrobacter freundii(292); Serratia marcescens(135); Klebsiella pneumoniae(104); Enterobacter roggenkampii(100)
GKWWBAA00014	571	Klebsiella oxytoca	TRUE_POSITIVE	94.4	0.0	386.0	364.0	94.3	0.0	1.0	92.21	Klebsiella oxytoca(364); Klebsiella pneumoniae(159); Klebsiella michiganensis(150); Klebsiella grimontii(117); Caudoviricetes sp.(79)	386.0	365.0	94.6	0.0	1.0	91.79	Klebsiella oxytoca(365); Klebsiella pneumoniae(156); Klebsiella michiganensis(141); Klebsiella grimontii(114); Caudoviricetes sp.(77)
GKWWBAA00014	573	Klebsiella pneumoniae	TRUE_POSITIVE	97.6	0.8	499.0	487.0	97.6	0.8	1.0	94.51	Klebsiella pneumoniae(486); Escherichia coli(247); Citrobacter freundii(113); Enterobacter kobei(111); Klebsiella pneumoniae subsp. pneumoniae(101)	499.0	487.0	97.6	0.8	1.0	94.91	Klebsiella pneumoniae(486); Escherichia coli(249); Citrobacter freundii(111); Enterobacter kobei(108); Klebsiella pneumoniae subsp. pneumoniae(100)
GKWWBAA00014	575	Raoultella planticola	FALSE_POSITIVE	0.0	0.0	329.0	0.0	0.0	0.0		91.24	Klebsiella planticola(326); Klebsiella ornithinolytica(155); Klebsiella michiganensis(95); Klebsiella pneumoniae(90); Klebsiella oxytoca(79)	329.0	0.0	0.0	0.0		91.38	Klebsiella planticola(326); Klebsiella ornithinolytica(156); Klebsiella michiganensis(101); Klebsiella pneumoniae(92); Klebsiella grimontii(75)
GKWWBAA00014	615	Serratia marcescens	TRUE_POSITIVE	97.8	0.0	340.0	329.0	96.8	0.0	1.0	88.41	Serratia marcescens(329); Escherichia coli(176); Aeromonas caviae(170); Pseudomonas aeruginosa(149); uncultured prokaryote(124)	340.0	336.0	98.8	0.0	1.0	88.41	Serratia marcescens(336); Aeromonas caviae(171); Escherichia coli(171); Pseudomonas aeruginosa(152); uncultured prokaryote(129)
GKWWBAA00014	622	Shigella dysenteriae	UNCERTAIN	100.0	0.0	1.0	1.0	100.0	0.0	2.0	96.72	Proteus mirabilis(1); Shigella dysenteriae(1); Shigella sonnei(1); Escherichia coli(1)	1.0	1.0	100.0	0.0	2.0	96.72	Proteus mirabilis(1); Shigella dysenteriae(1); Shigella sonnei(1); Escherichia coli(1)
GKWWBAA00014	623	Shigella flexneri	UNCERTAIN	100.0	0.0	2.0	2.0	100.0	0.0	3.0	98.49	Enterobacter chengduensis(2); Klebsiella pneumoniae(2); Shigella flexneri(2); Proteus mirabilis(2); Salmonella enterica subsp. enterica serovar Typhi(2)	2.0	2.0	100.0	0.0	3.0	98.49	Enterobacter chengduensis(2); Klebsiella pneumoniae(2); Shigella flexneri(2); Proteus mirabilis(2); Salmonella enterica subsp. enterica serovar Typhi(2)
GKWWBAA00014	644	Aeromonas hydrophila	TRUE_POSITIVE	100.0	0.0	497.0	497.0	100.0	0.0	1.0	92.76	Aeromonas hydrophila(492); Aeromonas hydrophila subsp. hydrophila(201); Aeromonas hydrophila subsp. hydrophila ATCC 7966(124); Aeromonas sp. 2692-1(91); Aeromonas veronii(90)	497.0	497.0	100.0	0.0	1.0	93.17	Aeromonas hydrophila(492); Aeromonas hydrophila subsp. hydrophila(196); Aeromonas hydrophila subsp. hydrophila ATCC 7966(118); Aeromonas sp. 2692-1(97); Aeromonas dhakensis(93)
GKWWBAA00014	646	Aeromonas sobria	TRUE_POSITIVE	100.0	6.2	450.0	450.0	100.0	6.2	1.0	85.83	Aeromonas sobria(450); Aeromonas caviae(211); Pseudomonas aeruginosa(164); Pseudomonas syringae(128); Pseudomonas syringae pv. tomato(116)	450.0	450.0	100.0	6.2	1.0	85.65	Aeromonas sobria(450); Aeromonas caviae(215); Pseudomonas aeruginosa(172); Pseudomonas syringae(136); Pseudomonas syringae pv. tomato(129)
GKWWBAA00014	648	Aeromonas caviae	TRUE_POSITIVE	99.9	8.0	500.0	499.0	99.8	8.0	1.0	90.26	Aeromonas caviae(499); Aeromonas hydrophila(211); Aeromonas veronii(198); Aeromonas salmonicida(164); uncultured prokaryote(106)	500.0	500.0	100.0	8.0	1.0	90.06	Aeromonas caviae(500); Aeromonas hydrophila(214); Aeromonas veronii(200); Aeromonas salmonicida(166); uncultured prokaryote(98)
GKWWBAA00014	654	Aeromonas veronii	TRUE_POSITIVE	99.8	0.0	500.0	499.0	99.8	0.0	1.0	87.68	Aeromonas veronii(499); Aeromonas hydrophila(293); Aeromonas caviae(224); Aeromonas salmonicida(148); Aeromonas media(147)	500.0	499.0	99.8	0.0	1.0	87.19	Aeromonas veronii(499); Aeromonas hydrophila(294); Aeromonas caviae(217); Aeromonas salmonicida(149); Aeromonas media(147)
GKWWBAA00014	666	Vibrio cholerae	TRUE_POSITIVE	99.0	1.0	98.0	97.0	99.0	1.0	1.0	91.11	Vibrio cholerae(97); Bermanella sp. WJH001(20); Escherichia coli(14); Klebsiella pneumoniae(11); Aeromonas veronii(10)	98.0	97.0	99.0	1.0	1.0	89.01	Vibrio cholerae(97); Bermanella sp. WJH001(20); Klebsiella pneumoniae(13); Escherichia coli(13); Acinetobacter baumannii(11)
