taxid,organism_name
24,Shewanella putrefaciens
160,Treponema pallidum
195,Campylobacter coli
197,Campylobacter jejuni
199,Campylobacter concisus
210,Helicobacter pylori
235,Brucella abortus
238,Elizabethkingia meningoseptica
263,Francisella tularensis
287,Pseudomonas aeruginosa
294,Pseudomonas fluorescens
329,Ralstonia pickettii
446,Legionella pneumophila
450,Legionella longbeachae
451,Legionella micdadei
470,Acinetobacter baumannii
485,Neisseria gonorrhoeae
487,Neisseria meningitidis
488,Neisseria mucosa
518,Bordetella bronchiseptica
519,Bordetella parapertussis
520,Bordetella pertussis
545,Citrobacter koseri
546,Citrobacter freundii
548,Klebsiella aerogenes
549,Pantoea agglomerans
550,Enterobacter cloacae
562,Escherichia coli
569,Hafnia alvei
571,Klebsiella oxytoca
573,Klebsiella pneumoniae
575,Raoultella planticola
582,Morganella morganii
584,Proteus mirabilis
585,Proteus vulgaris
615,Serratia marcescens
621,Shigella boydii
622,Shigella dysenteriae
623,Shigella flexneri
624,Shigella sonnei
630,Yersinia enterocolitica
632,Yersinia pestis
644,Aeromonas hydrophila
646,Aeromonas sobria
648,Aeromonas caviae
654,Aeromonas veronii
666,Vibrio cholerae
726,Haemophilus haemolyticus
727,Haemophilus influenzae
729,Haemophilus parainfluenzae
732,Aggregatibacter aphrophilus
735,Haemophilus parahaemolyticus
747,Pasteurella multocida
777,Coxiella burnetii
784,Orientia tsutsugamushi
813,Chlamydia trachomatis
817,Bacteroides fragilis
1017,Capnocytophaga gingivalis
1019,Capnocytophaga sputigena
1260,Finegoldia magna
1261,Peptostreptococcus anaerobius
1276,Kytococcus sedentarius
1280,Staphylococcus aureus
1311,Streptococcus agalactiae
1313,Streptococcus pneumoniae
1314,Streptococcus pyogenes
1328,Streptococcus anginosus
1338,Streptococcus intermedius
1351,Enterococcus faecalis
1352,Enterococcus faecium
1379,Gemella haemolysans
1392,Bacillus anthracis
1396,Bacillus cereus
1491,Clostridium botulinum
1496,Clostridioides difficile
1502,Clostridium perfringens
1513,Clostridium tetani
1639,Listeria monocytogenes
1655,Actinomyces naeslundii
1659,Actinomyces israelii
1717,Corynebacterium diphtheriae
1736,Eubacterium limosum
1764,Mycobacterium avium
1766,Mycolicibacterium fortuitum
1768,Mycobacterium kansasii
1769,Mycobacterium leprae
1773,Mycobacterium tuberculosis
1774,Mycobacteroides chelonae
1780,Mycobacterium malmoense
1789,Mycobacterium xenopi
2039,Tropheryma whipplei
2054,Gordonia bronchialis
2718,Cardiobacterium hominis
5476,Candida albicans
5507,Fusarium oxysporum
5763,Naegleria fowleri
13373,Burkholderia mallei
13689,Sphingomonas paucimobilis
28037,Streptococcus mitis
28082,Legionella anisa
28090,Acinetobacter lwoffii
28131,Prevotella intermedia
28132,Prevotella melaninogenica
28141,Cronobacter sakazakii
28450,Burkholderia pseudomallei
28901,Salmonella enterica
29391,Gemella morbillorum
29394,Dolosigranulum pigrum
29459,Brucella melitensis
29461,Brucella suis
29466,Veillonella parvula
32002,Achromobacter denitrificans
33033,Parvimonas micra
35814,Bordetella holmesii
36809,Mycobacteroides abscessus
37727,Talaromyces marneffei
38289,Corynebacterium jeikeium
39950,Dialister pneumosintes
40324,Stenotrophomonas maltophilia
43675,Rothia mucilaginosa
43770,Corynebacterium striatum
47312,Tsukamurella pulmonis
48296,Acinetobacter pittii
54291,Raoultella ornithinolytica
57704,Tsukamurella tyrosinosolvens
80866,Delftia acidovorans
83262,Mycobacteroides immunogenum
83655,Leclercia adecarboxylata
84109,Slackia exigua
85698,Achromobacter xylosoxidans
102862,Proteus penneri
106654,Acinetobacter nosocomialis
117187,Fusarium verticillioides
134821,Ureaplasma parvum
135487,Nocardia cyriacigeorgica
199306,Coccidioides posadasii
244366,Klebsiella variicola
249188,Haemophilus pittmaniae
327575,Capnocytophaga leadbetteri
746128,Aspergillus fumigatus
1117645,Elizabethkingia anophelis
1463165,Klebsiella quasipneumoniae
